PC1,PC2
0.136716218406681,-0.263149982713606
-0.0622145950434268,-0.444162067325421
-0.116265431431627,-0.503870001440926
-0.143870985049243,-0.519684649945237
-0.121821477896556,-0.503586536169278
-0.115355400949858,-0.42913553058598
-0.0850582266010573,-0.455569772880085
0.862286649970927,0.647139888188247
-0.111804320638177,-0.473490404403624
-0.0475402075750163,-0.263739803684238
-0.0884265353568573,-0.485642631918355
0.423459001222302,-0.00638372976985024
-0.109486876915491,-0.46138633198726
0.350259208890809,0.26667868198006
0.140841420534379,-0.237167442448648
-0.0433829417204539,-0.446946261097732
-0.10345012282952,-0.497917128159929
0.100923020293803,-0.230692043080941
-0.127118522156708,-0.50560886203596
0.129116966327255,-0.29053684915065
-0.152238456875531,-0.54046263135702
-0.220587667983204,-0.554303293253722
-0.137905541810021,-0.528149408731123
-0.282659487324573,-0.323827100579182
4.06971560534161,4.11621248378158
-0.0703564296569643,-0.422397238753951
-0.228049192777991,-0.459581529260218
0.568134549273915,0.682031346838253
0.182470056420228,-0.187499186552344
-0.0267458271840016,-0.423172418170147
-0.0473666535058782,-0.443415800919407
0.479733264454337,0.00245613027934832
0.0223428506437971,-0.387005672061761
0.0593508800539763,-0.338778623048679
-0.00237216984163388,-0.411082361329788
-0.130299089661779,-0.436600830716751
-0.0728812656892254,-0.472287891077271
0.746859599170521,0.366256678597369
0.0552598136309592,-0.353038466019073
0.0773780224663513,-0.343202072999651
0.374001513498356,-0.0747870602155272
-0.0614542486923934,-0.457098457770372
0.934054997638089,0.852908056696373
-0.0778213145358447,-0.476531823379473
0.6099531128127,0.327967386127252
-0.112853947357649,-0.506627906774553
0.549008134630136,0.126756878748536
-0.159737655933047,-0.546905096625883
-0.150019674309073,-0.478825496797174
0.470651119308501,0.0474319678400414
-0.15085513494489,-0.531057273380305
-0.221890405468897,-0.600299722795692
4.70166115832849,11.2067648707053
-0.152909144301388,-0.517652066780339
-0.114373180986015,-0.384362564739573
-0.201840184575432,-0.583074836411364
-0.0546298474016322,-0.427532921991384
0.076097262177325,-0.298793018953978
-0.168044573125398,-0.531918866931606
-0.196713646984596,-0.567925433504712
2.28377093764031,1.93531858095527
0.0211758250195301,-0.308998980151253
1.3208303441217,1.77206261957332
0.855771115857722,0.724344190273696
1.27587211192586,1.33681305336969
2.15940605204305,2.3549960762671
0.373270357626299,0.137277764227861
0.257511180232131,0.0438352511182525
-0.0374316836176233,-0.431404388501659
0.193201006218429,0.148185931923678
0.0827243263341994,-0.287411126201021
0.906673780731278,1.35779919440709
-0.0506961807023334,-0.433002597704313
-0.14140860424412,-0.491970247306488
0.0909190713058891,-0.296805054266397
0.140555653769999,-0.261431758643109
0.166585795305787,-0.20462155839457
-0.205456366853179,-0.562794708503636
0.0010018199730818,-0.158514521431741
0.380343413604619,0.0725618308169184
-0.140143116546676,-0.422935112150757
-0.214315793973251,-0.585259470665888
0.258158118901681,0.26782923935052
0.229727836652165,0.71998905835278
0.0861755762285791,-0.0907154753223357
-0.204189140475935,-0.525045750030143
0.270993950327445,0.868265480358155
0.14958181379733,-0.11430515109899
0.483430855862819,0.613055940289119
0.320416932384289,0.400956326423802
0.167651249334507,-0.112055489010334
-0.0497318493721827,-0.452400525843577
-0.0642150306622316,-0.392470350222677
-0.18298449119837,0.187188306152332
-2.29917921523409,3.33223890536232
-1.64946724051876,2.48782555414484
-0.407777398179708,-0.184173293278693
-0.397861008032922,-0.227484330486884
-1.2338347617935,1.94355232438504
