	Hosp_diff	Beds_diff	Nurse_diff	area_diff	hispanic_diff	black_diff	2wk_prior_intra_diff	2wk_prior_inter_diff	2wk_onset_intra_diff	2wk_onset_inter_diff	RUCC_diff	elderly_diff	death_diff	More_Deaths
1389	0.5894442164529161	0.46229163030098713	0.5427806182907247	0.6391973196981102	0.46255355849507623	0.35469643139360235	0.49032515940960303	0.4904810746351494	0.4900529339249181	0.49080839171259905	0.35714285714285715	0.631228974604907	0.5931982114540908	0.0
75	0.6512911389177196	0.6461497571777022	0.6393360044282612	0.6302913627584252	0.4278358382958392	0.4948318712212375	0.4618943269117367	0.4576493672786264	0.46782947434416705	0.4653609074108121	0.5	0.6812508847764868	0.5473970851517173	0.0
98	0.561750726939604	0.6724379065845786	0.5420528022366643	0.6453406205898036	0.4406170344902915	0.5669900212169622	0.4983240279463896	0.5010138433156587	0.4964087715800218	0.4990423719234969	0.5	0.6833017175806398	0.5881113947672805	0.0
248	0.6232330495648438	0.5976600880759829	0.5632254972830533	0.2133993807472875	0.39847697372985236	0.47475578147868347	0.5182247179290715	0.5187668286026661	0.5777561785928695	0.5854704761142594	0.5	0.7121056486295244	0.5320078234926712	1.0
531	0.5841061034303838	0.4944387313690086	0.5461278560730951	0.6131559769794184	0.5919759353532101	0.5563451353046382	0.4906858681278372	0.49110586251271393	0.4895878326896567	0.49058843103416355	0.5	0.49125594833266106	0.5974405930577658	0.0
126	0.6273200183890572	0.565022453757021	0.5743118284293204	0.6474357289989413	0.2570323158376064	0.3708342091163972	0.48261275906458817	0.4805083960716696	0.4836299513731746	0.4818992368525777	0.5	0.683282242203528	0.48862333390877377	1.0
1087	0.6644332460191397	0.5228715522275745	0.5850977959228795	0.6420251672444652	0.224376421251081	0.42563634099458936	0.473518764449689	0.4712789397159902	0.4757134042912959	0.47378886235486245	0.5	0.74169830980905	0.5652220327912336	0.0
702	0.6068292910034465	0.6325170612783146	0.5636145528995051	0.6159196308564666	0.438692259128425	0.5163835539534426	0.5403814428129454	0.5426635613523917	0.5278600143542688	0.5307871936202434	0.42857142857142855	0.5214937339705416	0.5371590330214322	0.0
1323	0.653623296257168	0.6332647436739124	0.4824143353861051	0.6451922766700582	0.42979632090113085	0.4586087113024732	0.5060791870756328	0.5102271252312043	0.503495424116236	0.5070824923833009	0.21428571428571427	0.6080061728966222	0.44889940422972774	1.0
1207	0.7644838464089034	0.9201560288757982	0.5519629190746409	0.6440700515910883	0.43767836532817583	0.4910638638602559	0.49680006102132723	0.4977915205564435	0.4950060983124113	0.4964412477899011	0.9285714285714286	0.7188364933038667	0.5000195092906315	1.0
986	0.669592399947116	0.5485748799885946	0.6281072824801164	0.6399716350460182	0.38790452597833835	0.3711182501023012	0.4438718909234378	0.44469016523193144	0.44747679168036525	0.4486022723444347	0.5	0.6731938316463374	0.5379851558928317	0.0
1145	0.5665719341857738	0.5092207926366373	0.5554507028491933	0.6535324645346607	0.4727101125278549	0.2781529371037204	0.5070167478169918	0.510448220470719	0.5046033149107935	0.5082403617151597	0.2857142857142857	0.6106077621415682	0.5147816641381869	1.0
406	0.5087430673876956	0.6529582454559975	0.5404635944102487	0.5284409552949301	0.5768629062141898	0.5140857798681773	0.5468403686151777	0.5501813341881281	0.5333860939370753	0.5369634549073136	0.21428571428571427	0.6669957216238009	0.5110754234812108	1.0
453	0.6121905551967851	0.6929102804448787	0.5332715743365892	0.6462399971794699	0.42179853521152066	0.5333608146857941	0.5026512795605337	0.5027113574913523	0.5014075180721445	0.5022299045568425	0.42857142857142855	0.6422165340124378	0.5252343984766945	1.0
432	0.6727482399544895	0.5094495218472587	0.4420259927862748	0.6297442198257326	0.43335193538164835	0.5585531100452055	0.4945341587083903	0.4965784375464096	0.4931276788869014	0.4951248181989923	0.21428571428571427	0.6550148151884934	0.6316512927927265	0.0
1367	0.6236828844961206	0.583623947110063	0.5640201675915524	0.6429983831843187	0.4404688662960122	0.45937340049066083	0.4958466810960596	0.49587625296770904	0.49402662895634586	0.4944369955234034	0.5714285714285714	0.6678281016808981	0.5940470726713711	0.0
1342	0.6188753446125441	0.6735577874901755	0.5514047660230783	0.6097749995260312	0.45954085608136275	0.6288086898997414	0.4974090212890192	0.4971335817602576	0.5000482433352891	0.5014968939321552	0.42857142857142855	0.5981558133309465	0.5355428804770964	0.0
107	0.6125055483824986	0.6298487324763576	0.5538284916736792	0.6455192319909318	0.4548762366556758	0.32721943688679567	0.49826544997825256	0.5000354901971531	0.49623476803690025	0.4983799602828972	0.5	0.6766461196870233	0.5107935190994379	1.0
108	0.6373062221662438	0.727503263441991	0.508032708122054	0.634197863514946	0.4886435017363956	0.5477948030057518	0.5068081225400973	0.5081960967734132	0.5050476721942475	0.5067636471343193	0.5	0.6270297075169304	0.5374510769794647	0.0
1268	0.650831274637256	0.5499323656493863	0.6010843905786317	0.6396516645285408	0.42146932285923394	0.6518540795249084	0.4888472404060174	0.48804581884707254	0.48822883089953556	0.4881060833672818	0.5	0.6828178570033964	0.5624814795593972	0.0
