FIPS,cum_deaths,Total Hospitals (2019),ICU Beds,m50,Inter_movement,Total_movement,Intra_movement,POP_ESTIMATE_2018,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Total_age65plus,normalized_deaths,percent_age65plus,normalized_deaths log,Total Hospitals (2019) log,m50 log,ICU Beds log,Total_movement log,Inter_movement log,Intra_movement log,Density per square mile of land area - Population log
1017.0,117,0.69459996,0.0,11.868,57581.5340688809,85159.72706297359,27578.192994092686,33615,57.4,6.0,6562.0,117.0,0.1952104715156924,4.762173934797756,-0.36441919625926555,2.4738457024285756,-inf,11.352283914011364,10.960957206202389,10.224780630495,4.050044303325521
1055.0,103,2.1180184580000003,56.0,7.626,207508.87642986208,260066.35070697824,52557.474277116155,102501,195.2,3.0,19487.0,103.0,0.1901152183881133,4.634728988229636,0.7504809619665479,2.031563461435372,4.02535169073515,12.468692072467793,12.242929395713178,10.869662597915504,5.274024673978992
1073.0,187,13.62337508,471.0,7.8660000000000005,1426729.768986281,1637326.6169809385,210596.84799465747,659300,592.5,1.0,104547.0,187.0,0.1585727286516002,5.231108616854587,2.6117870732537605,2.0625496740096176,6.154858094016418,14.308575358125836,14.170895508509586,12.257700911783006,6.384350873009287
1081.0,180,3.3875773319999998,28.0,7.4910000000000005,307534.00582815084,406114.51459124906,98580.50876309822,163941,230.8,3.0,19481.0,180.0,0.11882933494366876,5.19295685089021,1.2201150145799362,2.013702299965746,3.332204510175204,12.914390454457125,12.636340948173329,11.49862884116204,5.441551534633945
1097.0,200,8.549623548,157.0,7.37,899491.7560673167,1006442.4477297643,106950.69166244753,413757,335.9,2.0,67041.0,200.0,0.16202988710765015,5.298317366548036,2.1458872525056587,1.9974177062012453,5.056245805348308,13.82193234183075,13.709585167313847,11.5801231816467,5.816813496618247
1123.0,178,0.8368054309999999,6.0,10.555,69935.13874193122,100280.90045759012,30345.761715658897,40497,58.1,6.0,8731.0,178.0,0.21559621700372866,5.181783550292085,-0.17816369549177513,2.356599681300284,1.791759469228055,11.515730531665403,11.15532350208119,10.32041213980559,4.062165663857866
4005.0,197,1.653299954,41.0,4.169,247364.01922896664,293576.3235908366,46212.30436186996,142854,7.2,3.0,17855.0,197.0,0.12498774973049408,5.2832037287379885,0.5027732627520203,1.4276761988986597,3.713572066704308,12.589892930750196,12.418616292749215,10.74100136978978,1.9740810260220096
4013.0,524,51.04802886,1004.0,5.3870000000000005,9135133.983027035,9702842.459827898,567708.4768008627,4410824,414.9,1.0,669285.0,524.0,0.1517369543649894,6.261491684321042,3.9327669319161447,1.6839886436983968,6.911747300251674,16.087929437642288,16.02763841468472,13.24936332087905,6.028037527338822
4017.0,129,1.278219115,12.0,2.9019999999999997,141795.92908075452,181649.16388382766,39853.23480307314,110445,10.8,4.0,20010.0,129.0,0.18117615102539725,4.859812404361672,0.2454677927459146,1.065400154461996,2.4849066497880004,12.109832434742128,11.862144183787622,10.592958855405024,2.379546134130174
4019.0,251,12.02555996,296.0,3.992,2047547.2194151918,2204739.0086916643,157191.78927647253,1039073,106.7,2.0,205255.0,251.0,0.19753665045670515,5.5254529391317835,2.4870343812278137,1.3842923584492175,5.69035945432406,14.606119696452442,14.53215315642888,11.965221926547457,4.670021158307708
4021.0,123,5.17488649,22.0,4.132,558146.1534461422,838361.5107120628,280215.3572659206,447138,70.0,1.0,91129.0,123.0,0.2038050892565606,4.812184355372417,1.6438174046113556,1.4187615512573921,3.091042453358316,13.639204683470375,13.23237613080602,12.54331371961268,4.248495242049359
5069.0,103,1.988845404,34.0,5.388999999999999,131010.6961242244,158070.04125145092,27059.345127226523,68114,88.9,3.0,11777.0,103.0,0.17290131250550547,4.634728988229636,0.6875542713608567,1.6843598389513594,3.5263605246161616,11.97079351284092,11.783034248653365,10.205787700664253,4.487512142519859
5119.0,146,11.46577522,209.0,6.47,802776.1558954265,921330.26255438,118554.10665895347,392680,503.8,2.0,61075.0,146.0,0.15553376795354995,4.983606621708336,2.4393665302472822,1.8671761085128091,5.342334251964811,13.733573842223219,13.595831194286633,11.68312473162705,6.22217936391851
6001.0,172,15.12661846,282.0,3.6839999999999997,3011723.470470362,3722542.207378768,710818.736908406,1666753,2043.6,1.0,230510.0,172.0,0.13829883612028898,5.147494476813453,2.7164560038120467,1.3039991183930604,5.641907070938114,15.129917381925656,14.918023054414403,13.474172735225288,7.622468237456643
6013.0,156,10.43877734,163.0,4.277,2076579.4067447681,2658588.4852342173,582009.0784894491,1150215,1465.2,1.0,181443.0,156.0,0.15774702990310507,5.049856007249537,2.345527462569407,1.4532518292447716,5.093750200806762,14.793305895267393,14.546232581988665,13.274241325371037,7.2897470309046595
6019.0,98,9.024678158,164.0,3.713,2002239.0950434387,2233256.8622468663,231017.76720342762,994400,156.2,2.0,122113.0,98.0,0.1228006838294449,4.584967478670572,2.199962842419635,1.3118401751949431,5.099866427824199,14.61897155432187,14.509776659819961,12.35024990084673,5.051137237405586
6037.0,690,91.71263834,2126.0,3.9960000000000004,22362133.873079125,24280889.31334128,1918755.4402621537,10105518,2419.6,1.0,1375957.0,690.0,0.13615897769911448,6.536691597591305,4.518660192448406,1.3852938607863072,7.661997558901893,17.005200150887656,16.922879634304174,14.467187325629405,7.791357516232759
