	Hosp_diff	Beds_diff	Nurse_diff	area_diff	hispanic_diff	black_diff	TWOwk_prior_intra_diff	TWOwk_prior_inter_diff	TWOwk_onset_intra_diff	2wk_onset_inter_diff	RUCC_diff	elderly_diff	death_diff	More_Deaths
427	0.16195951639117745	0.7745811070845977	0.4620026664880945	2.0035721323603104	4.476939504986588	0.056202333853067596	0.3087380747929746	0.28127503066933524	0.25551840358231204	0.23205249993482002	-1.5363015367166788	-2.1104540370402334	0.07288290124089096	0.0
85	2.796994077772616	-1.0031280944309737	0.876389056440212	-0.03359465833907763	-0.055974944135747634	-0.6544279161705537	-0.39376447385397445	-0.3929971495639732	-0.37095610492409675	-0.35486173083317285	1.4820615988539367	1.1890130259973	1.857084569361161	0.0
1223	0.798060143126999	0.9168543053474414	0.11409693080806428	0.03343719556286391	-0.041694621963396045	0.43613908888570385	0.017781923522768913	0.00403439237967703	0.013445219058431055	4.039439204605071e-05	1.4820615988539367	0.1526682463833463	-0.7309828923828848	1.0
1031	0.12032385737533774	-0.0028267351386443984	0.3645769519674442	-0.17004645857117323	-1.38929247629902	-1.8249637657809417	-1.1211317355037451	-1.2860394323938182	-0.8960786591428783	-1.0859884252352021	-0.027119968931371054	0.5067379759481226	0.021936126494129474	1.0
1156	0.5631768880176256	-1.3195976087549615	0.9806471471289108	0.31976865137600174	-0.22617954415380642	-0.6289158650003386	-0.40930455828502327	-0.43409117115971746	-0.3474941696110067	-0.36327777481912854	-0.027119968931371054	0.5270060254650056	0.3599351180427183	0.0
857	-5.9012842284030445	0.5139873375720777	-1.0297750062778053	0.557949883731717	0.26155932285940753	-3.475688995108271	0.7052009391221028	0.7764625385027351	0.6321901229719763	0.670251455177919	-2.542422581906884	-1.8665089927651668	-1.4290146271747544	1.0
592	0.40819774412511495	-0.34576088864730437	1.0381899022936054	0.2179070065227926	1.2195503337560012	-0.4964110141678841	-0.11966026985075962	-0.1102037693516396	-0.11192021694205144	-0.09620435529539619	1.4820615988539367	0.5709336510441892	0.6483716941166549	0.0
610	0.8008366290612872	1.2481791294647768	0.36328038099769944	-0.009812893604143188	-0.1404274456039759	-0.08224110388910692	0.03360807495989316	0.02844919926270556	0.034215714007282086	0.033114990540108635	-0.027119968931371054	0.44327677709285107	-0.2210018528277701	1.0
1667	-0.047084550643649484	-0.41296120860224855	-0.027151776568101103	0.08872690641812651	-0.3499240462197412	-2.5041141229485406	0.34979302451338024	0.2576881210490324	0.4335193974450053	0.3273298405207688	-0.027119968931371054	0.8667808541476978	-0.12771846388569352	1.0
524	-0.09260845152050096	1.4129772123640723	-0.13367581570981868	-0.23683041360513424	0.3236529601883476	0.8747426614889439	0.08860806883504811	0.10671697400731542	0.06772480945840319	0.08789193593069235	-0.027119968931371054	-0.16982291978462152	0.23027595726417374	0.0
30	-0.5288505604859791	0.6276144518068978	-0.4162352236498381	0.4612280087413046	0.4389276648028155	0.3659797031944629	0.237140415434007	0.21658477103342655	0.2379033904398102	0.21584320752181016	-0.027119968931371054	0.18227811805842947	0.028925645207948734	1.0
10	-2.349113766347998	-0.019976848946080365	-5.413804623880678	0.2559346928710094	0.35996075953868184	0.848043970849075	0.31230957802034087	0.3230173774454674	0.26626825504696705	0.27670071355246884	-1.5363015367166788	-1.9968326717776994	-2.2486298028508633	1.0
