Rural-urban_Continuum Code_2013,2wk Prior Intra-Mobility,Total_age65plus,HospCt,NursingCt,normalized_deaths
1.0,0.026399595534930625,0.04240361042929566,0.00032981196311160534,1.95283399210819e-05,-6.673806551393358e-05
1.0,0.04816922765527307,0.035995230979300685,0.00021545430179628232,1.2757162606358818e-05,-7.341377800100096e-06
0.0,0.0008469449453533118,-0.012940458812695677,-0.00015281094159732352,-9.04801627878889e-06,-5.179601732858586e-05
3.0,-0.0014631271491739595,-0.01750192427870656,0.00039423269665506025,1.0255795063876487e-05,-8.005292980818278e-06
2.0,0.007359924924460304,0.0022338291269389243,0.00029560742933544093,4.416141077846392e-06,-1.3196096523956132e-05
0.0,0.06258467633118255,6.148891824392377e-05,0.0010119767708606326,4.5618840317753474e-05,5.890711164653632e-05
-1.0,0.008823052073634263,0.019735753405645484,-9.862526731961932e-05,-5.839653986030094e-06,-5.190803543137854e-06
-2.0,-0.03188876258411749,0.025774551437379778,-0.0004970350086479058,-2.9429704459415476e-05,-1.0421162141852727e-05
1.0,0.02874528931228737,-0.015101443795515437,0.00014430332344909078,8.544275730538267e-06,9.814187878754566e-05
-2.0,-0.014835790728529835,-0.019977985113757063,-0.0011668251585825434,-6.90883317581769e-05,-7.232533651928365e-05
0.0,0.009657787157622943,0.003448956462815289,-0.0006935166816400551,-1.3145538581231852e-05,5.238130030886318e-05
2.0,-0.014613540008980571,-0.028206143506390863,-0.0005273492389094908,-1.6737899753467728e-05,-9.335661798034929e-05
1.0,-0.005950404404317607,0.028900288332396912,-0.0018241604181665138,2.802999964239234e-05,-0.000428373760648974
3.0,-0.036152250465191896,0.0035414109562239837,-0.0009371001221718579,1.5710098803234668e-05,-0.00042620900525566335
0.0,-0.029919037674805915,-0.17816662869947492,0.0003386595335448132,2.0052209223048145e-05,9.292937443907949e-05
-1.0,0.01897246156093424,-0.05618840129490317,0.00025819245193026196,-9.432857258021975e-06,5.4027726705872375e-05
0.0,-0.024244433934891133,-0.19087522889386094,0.00040883122599223883,2.4207112065329937e-05,0.00019114192479492183
-1.0,0.015835044139279844,-0.04579969609171575,-0.00011182355477548167,-6.621131532758784e-06,-1.2266156827024407e-05
0.0,0.020136706446326938,-0.052068134891571194,-0.0003054791136036396,-1.8087579094952348e-05,-2.6849138782845906e-05
-2.0,0.005160242955367961,-0.16412602425936562,-0.000620731501253217,-3.675383888999311e-05,-1.0219513733808012e-05
-2.0,0.02838520681238499,-0.03601760891755698,-0.0006820878177499285,-4.038677868256155e-05,-5.506868735325149e-05
0.0,0.0056746037399147825,-0.012708600194386022,7.017169244742563e-05,4.154902842281792e-06,9.821255035584233e-05
2.0,0.02115230009744054,0.18740532116673997,0.0006553694975448344,3.880477288094415e-05,0.00010243240138311552
2.0,0.009474924476362834,0.15586764356553928,0.000657252744491205,3.891628092382136e-05,7.881734586084635e-05
1.0,0.004301662307047094,-0.006268438799855447,-0.00019365555882815794,-1.1466447562193564e-05,-1.4582981955821499e-05
-1.0,0.012550162673105145,0.009782087174158766,-0.0005702642629744468,-3.376564714980277e-05,-4.2802530526227077e-05
0.0,0.014797821544261763,0.05807085294249789,-0.0001194109569469257,9.428814180110692e-06,2.671415682605798e-05
0.0,0.06066455934441353,-0.03068400111541715,0.0007827319233024066,4.9192492209863456e-05,-1.925494224222506e-05
1.0,-0.00684336504800194,0.01736754455195552,0.0018444693542651201,0.0001092120012393821,0.00020628933567438848
0.0,-0.012238906065651943,-0.019448193782816092,-4.09539308027092e-05,-2.4249037975288336e-06,6.010734404967719e-06
0.0,0.013105531541535771,-0.01821448600513767,-8.08857151923799e-05,-4.789285767969862e-06,7.565522484321046e-07
-1.0,-0.017051061701460445,0.010862809228996795,-0.00011075513977372331,-6.557870118180987e-06,8.12228274408404e-07
0.0,-0.00065738643223337,-0.02273268250435284,-0.00010632403727579343,-6.295502207119348e-06,-3.890064560967651e-06
0.0,-0.0005342542063973624,0.003526414994858673,1.274649745992654e-05,7.547268232851242e-07,1.2060413581450462e-06
-1.0,-0.025029538474928156,0.0067655021806911075,-0.00018526135023506332,-1.0969422053391906e-05,-7.52070315876777e-06
0.0,0.021495998109388376,-0.06539731706569332,-0.0004532181496398233,-2.683528517604216e-05,-2.1122956760027306e-05
0.0,-0.008056650610411727,0.016537081656053693,3.351035810660364e-05,1.984165940522584e-06,-4.026959684331469e-06
0.0,0.025344437607187714,0.0012337077776784222,-3.9931784389670696e-05,-2.3643819704410282e-06,-5.254182156535614e-06
-1.0,-0.004812155635808502,0.030311003011812887,-6.980120897101411e-05,-4.132966320652153e-06,-5.198506130559315e-06
-1.0,-0.006129215663350909,4.791882184848606e-05,-0.0002081924782517514,-1.2327186212274755e-05,-7.241936834096004e-06
-1.0,0.004992806518206348,-0.039703874401794265,-0.00017188606120369055,-1.0177464150218525e-05,9.387125430156358e-06
0.0,0.006965291320986895,0.010541116562871655,-0.0004003440137149893,-2.3704579759440165e-05,-3.8790004400601e-06
0.0,0.023403663399175732,-0.013107983415742125,-0.00019609279820085037,-1.1610757788208245e-05,-4.439157920239048e-06
0.0,0.0033356534446958297,0.00840604680252055,-0.0001734215870877813,-1.0268383445987055e-05,-6.165059622307866e-05
2.0,-0.021177231663463886,-0.014403139524360786,0.0007739378283719842,2.932606636479409e-05,3.2572829441367415e-05
2.0,-0.016396478012794563,-0.01072995685263528,0.00079049626380424,3.0306500041703967e-05,2.6051869197383856e-05
1.0,0.01358435234221634,-0.026490213118912753,0.00015445704220515603,9.145482762147396e-06,-1.7698155652600867e-05
