,FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,HospCt,Beds,NursingCt,Hispanic Population,Black Population,Deaths,Outbreak_date
251,17111,29808.0,26274.857142857138,41197.28571428572,37120.71428571428,511.9,1.0,7.2,33.7,3.5,132.6,19.3,22.2,32.2,47.5,56.2,66.4,75.0,69.2,67.1,50.1,31.8,31.7,45024.0,2.68,5094.0,4012.0,31593.0,18995.0,15203.0,308570,603.17,1.0,308,9.0,41498.0,5315.0,26,2020-04-02
252,17113,16441.14285714286,16416.0,21484.714285714286,21127.428571428565,143.3,3.0,4.1,44.8,4.2,103.1,22.8,26.9,36.1,51.0,61.8,70.4,76.9,71.5,70.1,53.5,35.2,34.6,22860.0,2.49,3119.0,1887.0,15825.0,10155.0,27290.0,172828,1183.38,1.0,200,9.0,8750.0,14147.0,3,2020-04-16
253,17115,11392.857142857143,11795.142857142857,14508.428571428569,14754.142857142857,190.8,3.0,9.7,22.5,5.6,77.9,25.1,30.2,37.0,52.8,63.6,71.5,77.3,73.1,72.2,53.9,36.2,34.9,20960.0,2.27,1878.0,1162.0,10790.0,5323.0,4485.0,104712,580.69,1.0,188,9.0,2459.0,18339.0,13,2020-04-15
254,17119,30869.714285714286,30854.142857142862,41793.857142857145,40977.42857142857,376.3,1.0,7.9,25.8,4.5,92.4,29.6,33.7,40.8,56.0,65.8,73.0,78.4,75.1,74.5,55.9,38.6,38.2,45485.0,2.38,4801.0,3158.0,25226.0,12585.0,18954.0,264461,715.58,1.0,943,9.0,8942.0,23274.0,28,2020-04-16
255,17143,17182.571428571428,15592.714285714286,24312.571428571428,22260.285714285717,301.2,2.0,9.6,30.4,5.5,86.8,22.3,26.0,36.9,51.6,61.5,71.1,77.8,72.3,71.1,51.8,35.8,34.6,30816.0,2.45,3009.0,2095.0,19251.0,8711.0,11841.0,180621,619.21,1.0,1072,9.0,8878.0,33691.0,6,2020-04-30
256,17157,3813.0,3778.142857142857,5990.714285714284,6068.857142857143,58.2,6.0,16.6,12.8,4.4,82.4,32.4,37.0,42.5,57.2,67.4,73.1,78.7,76.9,75.9,57.4,39.5,39.5,5972.0,,,,,,,32106,575.5,0.0,0,8.0,1002.0,3360.0,4,2020-05-12
257,17161,12207.428571428569,13344.857142857143,17780.14285714286,19317.428571428565,345.0,2.0,11.1,23.2,5.2,80.9,19.4,22.0,35.1,50.0,59.1,70.8,77.9,71.7,70.0,50.3,33.8,32.8,27672.0,2.27,2780.0,1607.0,13949.0,7552.0,9313.0,143477,427.64,1.0,444,9.0,18801.0,15775.0,9,2020-04-10
258,17163,25570.0,27067.714285714286,35101.857142857145,37012.57142857143,410.6,1.0,9.2,27.3,5.0,89.5,31.1,35.3,41.6,57.0,67.2,73.6,79.1,76.5,75.5,56.9,39.7,38.5,41261.0,2.46,4253.0,2234.0,28822.0,14164.0,17452.0,261059,657.76,1.0,818,9.0,10900.0,79804.0,29,2020-04-08
259,17167,19149.85714285714,20881.428571428565,23762.857142857138,25516.571428571428,227.4,3.0,7.6,34.2,4.3,95.7,26.5,29.5,37.4,53.0,63.6,71.3,77.7,73.4,72.5,53.7,36.4,35.7,34887.0,2.3,3044.0,2395.0,20000.0,10759.0,10223.0,195348,868.3,1.0,907,9.0,4592.0,25296.0,11,2020-04-13
260,17179,14366.714285714286,15459.285714285714,20310.285714285714,21362.0,208.6,2.0,7.4,26.4,4.9,94.5,23.7,27.6,37.5,52.2,62.7,71.3,77.8,72.6,71.5,53.1,36.4,35.1,24831.0,2.4,1776.0,1291.0,13838.0,6668.0,6481.0,132328,648.97,1.0,125,9.0,3070.0,1759.0,3,2020-04-13
261,17181,1578.142857142857,1617.428571428571,2744.857142857143,2746.714285714286,43.1,6.0,12.3,22.8,6.5,76.4,34.4,39.4,42.9,57.0,67.6,73.1,78.5,76.7,76.0,57.4,39.8,40.8,3597.0,,,,,,,16841,413.46,0.0,0,6.0,900.0,215.0,14,2020-05-15
262,17195,5111.428571428572,5313.285714285715,7392.857142857143,7510.857142857143,85.5,4.0,9.7,18.5,4.6,87.9,19.3,21.2,34.1,49.4,58.4,69.4,77.3,70.9,69.0,50.6,33.1,32.5,11600.0,,,,,,,55626,684.25,1.0,99,9.0,6741.0,1000.0,6,2020-04-15
263,17197,58628.857142857145,58454.857142857145,85080.28571428571,87228.0,809.6,1.0,9.1,34.0,4.0,132.3,22.0,25.6,34.5,49.7,58.9,68.7,76.3,71.6,68.8,52.1,34.3,33.4,90406.0,2.95,11649.0,7905.0,75658.0,47649.0,44000.0,692310,836.91,1.0,917,9.0,123504.0,83988.0,88,2020-03-26
264,17201,27897.571428571428,28624.42857142857,35607.142857142855,36665.28571428572,575.2,2.0,12.3,22.6,5.7,82.7,17.5,21.0,32.6,48.0,56.8,67.8,76.2,70.0,67.2,49.5,32.0,31.9,49819.0,2.45,3367.0,4681.0,28285.0,14156.0,13060.0,284081,513.36,1.0,857,9.0,37271.0,38708.0,10,2020-04-07
265,18003,37226.71428571428,36584.57142857143,45088.857142857145,44970.714285714275,540.6,2.0,10.7,28.2,3.2,97.8,24.0,28.7,34.7,49.2,59.7,68.8,75.7,70.3,68.0,53.8,35.5,33.9,54718.0,2.5,7432.0,4427.0,43308.0,20998.0,18541.0,375351,657.31,1.0,1402,9.0,28557.0,45080.0,33,2020-04-06
266,18005,7793.714285714284,7711.857142857143,10597.714285714286,10559.857142857143,188.7,3.0,9.1,32.3,2.6,113.2,30.1,35.7,39.7,54.4,65.0,70.4,77.3,73.4,72.3,57.5,37.9,38.3,13487.0,2.56,1226.0,1013.0,8977.0,4474.0,3659.0,82753,406.91,1.0,198,8.0,5732.0,1930.0,11,2020-04-07
267,18011,5807.571428571428,6393.857142857143,9514.57142857143,10384.857142857143,133.9,1.0,6.4,48.3,2.7,154.1,25.3,30.8,36.0,51.0,61.4,69.3,75.8,71.2,69.7,54.6,35.4,34.7,8954.0,2.67,1875.0,1352.0,7312.0,3943.0,2631.0,66999,422.91,1.0,52,9.0,2126.0,1349.0,26,2020-04-14
268,18017,3431.0,3354.857142857143,4978.428571428572,4971.714285714285,94.5,4.0,15.8,13.9,3.7,87.2,23.7,28.5,35.2,49.3,59.8,69.3,76.2,70.8,68.8,54.1,35.2,34.3,6753.0,,,,,,,37955,412.15,1.0,83,6.0,6046.0,819.0,6,2020-04-29
269,18019,11722.571428571431,11185.571428571431,18175.571428571428,17697.0,295.6,1.0,10.8,20.9,3.4,101.9,32.8,38.9,41.0,56.7,67.4,71.9,78.0,75.6,75.4,58.8,39.8,40.9,18524.0,2.53,1364.0,1853.0,12376.0,5513.0,4588.0,117360,372.86,1.0,278,9.0,6508.0,9541.0,13,2020-04-04
270,18027,2609.5714285714284,2391.5714285714284,3994.285714285714,3608.4285714285716,73.7,7.0,26.8,13.8,2.7,99.5,30.7,36.8,39.8,55.8,66.3,71.7,77.2,74.6,73.8,57.6,37.9,39.5,5080.0,,,,,,,33147,429.49,1.0,80,8.0,1639.0,736.0,15,2020-04-19
271,18029,4536.857142857143,5016.714285714285,7043.857142857143,7767.285714285716,164.1,1.0,9.4,21.6,3.6,119.3,30.0,36.5,39.9,55.1,65.5,70.4,77.2,74.2,73.4,58.4,39.1,38.6,8779.0,,,,,,,49568,305.03,1.0,88,5.0,660.0,334.0,6,2020-04-10
272,18031,2249.714285714286,2199.8571428571427,3413.142857142857,3464.4285714285716,69.1,6.0,9.1,19.6,3.0,103.1,28.9,35.2,38.8,53.8,64.1,69.4,76.0,72.6,71.7,57.0,37.4,37.6,4485.0,,,,,,,26794,372.57,0.0,0,6.0,560.0,166.0,22,2020-04-02
273,18035,8994.714285714286,10013.285714285714,12901.142857142857,14049.428571428569,300.1,3.0,10.7,24.3,4.0,77.3,26.6,32.7,37.3,52.0,62.6,70.4,77.2,72.1,70.8,56.5,37.4,36.2,19672.0,2.37,1721.0,1508.0,8793.0,4383.0,18240.0,114772,392.12,1.0,379,9.0,2942.0,8230.0,15,2020-04-14
274,18039,17941.85714285714,15186.428571428569,24105.571428571428,20846.428571428565,426.5,3.0,18.8,19.2,2.6,106.3,21.7,27.2,33.6,48.2,58.4,67.8,74.7,69.8,68.0,52.2,34.3,33.9,30282.0,2.74,2043.0,2925.0,26035.0,10494.0,5797.0,205560,463.17,1.0,390,9.0,33502.0,12606.0,4,2020-04-02
275,18041,2182.428571428572,1927.7142857142856,3067.4285714285716,2744.5714285714284,112.9,6.0,17.4,11.6,4.6,85.7,27.6,33.1,37.5,52.4,62.9,69.2,76.0,72.4,71.3,56.8,37.1,35.8,4700.0,,,,,,,23047,215.01,1.0,99,5.0,310.0,327.0,4,2020-04-03
276,18043,7364.857142857143,7866.571428571428,11782.714285714286,12642.0,504.1,1.0,9.7,29.5,3.3,116.6,32.7,39.6,41.5,57.2,67.8,72.2,78.2,75.9,75.9,58.9,40.1,41.2,12549.0,2.52,848.0,781.0,7996.0,4307.0,4480.0,77781,147.93,1.0,225,9.0,2616.0,4275.0,16,2020-04-08
277,18047,1515.571428571429,1394.571428571429,2760.5714285714284,2577.285714285714,60.1,6.0,11.8,19.8,3.7,111.7,28.6,34.1,38.7,53.4,64.2,69.5,76.4,72.9,72.0,57.3,37.8,36.9,4187.0,,,,,,,22736,384.43,0.0,0,1.0,267.0,76.0,7,2020-03-30
278,18053,5685.714285714284,5199.142857142857,8204.285714285714,7344.0,169.2,4.0,13.0,17.1,3.9,81.0,25.3,30.9,36.4,50.5,61.0,69.8,76.7,71.5,69.7,55.2,36.1,34.9,12674.0,2.23,853.0,752.0,6441.0,2419.0,6250.0,65936,414.07,1.0,97,9.0,2901.0,4805.0,15,2020-04-19
279,18055,2813.142857142857,2748.428571428572,4440.142857142857,4205.285714285715,61.1,6.0,12.3,14.8,4.4,84.0,29.6,35.2,39.2,54.7,65.1,71.2,77.1,73.9,72.8,56.8,37.6,37.8,6248.0,,,,,,,32006,542.49,0.0,0,4.0,476.0,90.0,9,2020-04-17
280,18057,32481.714285714286,28642.42857142857,44813.0,40370.0,696.4,1.0,3.6,57.8,2.7,182.6,26.4,31.4,36.8,51.4,61.7,69.6,76.6,71.6,70.4,55.1,35.7,34.7,40862.0,2.67,6585.0,4675.0,40967.0,22492.0,16603.0,330086,394.27,1.0,470,9.0,13558.0,14555.0,41,2020-04-01
281,18059,7928.571428571428,8766.42857142857,12480.142857142857,13795.857142857143,228.8,1.0,6.2,30.3,3.0,132.5,27.9,33.2,37.5,52.4,62.6,70.0,76.8,72.1,70.9,55.7,36.5,35.2,12405.0,2.56,1190.0,1417.0,7201.0,4461.0,3147.0,76351,306.02,1.0,68,9.0,1862.0,2246.0,9,2020-04-10
282,18061,3847.4285714285716,3650.0,6214.714285714284,5798.428571428572,81.2,1.0,11.0,17.4,3.5,108.4,32.9,39.7,41.6,57.0,67.7,71.9,77.8,75.4,75.3,58.7,39.8,41.1,7142.0,,,,,,,40350,484.52,0.0,0,6.0,806.0,290.0,13,2020-04-22
283,18063,17563.714285714286,16654.0,27017.0,26126.714285714286,357.4,1.0,6.6,36.3,2.9,145.1,26.0,32.0,36.4,51.7,62.1,69.4,75.9,71.6,70.4,54.8,35.9,35.2,23141.0,2.73,2309.0,3375.0,17735.0,11228.0,7391.0,167009,406.91,1.0,287,9.0,6725.0,12428.0,26,2020-04-04
284,18065,5258.428571428572,5009.571428571428,8949.57142857143,8356.57142857143,126.2,4.0,10.4,16.6,3.5,90.1,26.8,32.5,37.0,51.8,61.9,69.2,75.9,71.6,70.4,56.0,36.5,35.0,9134.0,,,,,,,48271,391.88,1.0,90,8.0,936.0,1315.0,12,2020-05-16
285,18067,9840.285714285714,9690.142857142857,12808.142857142857,12617.714285714286,282.4,3.0,11.1,21.2,4.1,99.4,24.4,29.5,35.5,49.8,60.3,69.3,76.1,70.8,69.0,54.5,35.5,34.6,16056.0,2.31,1325.0,540.0,8605.0,4219.0,2615.0,82366,293.06,1.0,224,9.0,2846.0,6343.0,5,2020-04-07
286,18079,2258.285714285714,2136.714285714286,3759.857142857143,3528.714285714286,75.7,6.0,14.6,11.1,3.6,92.5,31.2,37.0,39.8,55.3,65.7,70.1,76.8,73.9,72.8,58.2,38.1,38.8,4539.0,,,,,,,27611,376.58,0.0,0,2.0,712.0,242.0,4,2020-05-02
287,18081,14949.571428571431,15594.428571428569,23433.42857142857,25717.142857142862,435.8,1.0,8.0,31.8,2.9,125.4,27.7,33.7,37.8,53.2,63.6,70.1,76.8,72.5,71.5,56.0,36.8,36.4,22769.0,2.67,1680.0,2373.0,19190.0,8439.0,10798.0,156225,320.43,1.0,125,9.0,5637.0,3785.0,21,2020-03-24
288,18089,44170.142857142855,38416.857142857145,59688.0,53896.285714285725,994.1,1.0,11.9,22.1,4.9,99.2,22.7,26.5,34.1,48.9,58.2,67.9,75.8,70.9,68.4,52.4,34.4,34.1,80104.0,2.56,7479.0,6383.0,50257.0,28301.0,24600.0,484411,498.96,1.0,2106,9.0,93904.0,118686.0,54,2020-03-31
289,18091,9431.714285714286,9679.57142857143,12771.571428571431,13218.571428571431,186.3,3.0,11.7,17.9,4.4,93.5,21.8,26.4,33.7,48.2,57.8,67.3,75.0,70.1,68.1,51.9,34.4,34.3,19692.0,2.37,1566.0,1600.0,10115.0,4300.0,3614.0,110007,598.3,1.0,377,9.0,7525.0,12718.0,5,2020-04-07
290,18093,4856.714285714285,4379.0,6581.714285714284,6054.285714285716,102.7,6.0,11.5,15.5,3.8,95.4,30.2,35.9,39.2,54.2,65.2,70.1,76.2,73.3,72.2,57.0,37.2,38.5,9142.0,,,,,,,45668,449.17,0.0,0,7.0,780.0,248.0,9,2020-04-03
291,18095,13041.857142857143,11405.142857142857,18160.714285714286,16101.714285714286,291.3,1.0,11.9,18.0,3.9,88.9,26.7,32.8,37.5,51.8,62.2,70.1,77.3,72.0,71.1,56.0,36.8,35.6,23714.0,2.45,1579.0,1278.0,12702.0,6790.0,5564.0,129641,451.92,1.0,332,9.0,5339.0,11091.0,38,2020-04-02
292,18097,68356.28571428571,74809.0,100793.42857142855,115499.0,2279.6,1.0,14.3,30.4,3.5,86.9,26.8,32.6,36.9,52.4,62.7,70.1,76.9,72.5,71.3,55.2,36.2,35.5,120358.0,2.51,11894.0,11995.0,104850.0,49777.0,56952.0,954670,396.3,1.0,2954,9.0,101614.0,275890.0,123,2020-03-22
293,18105,8932.57142857143,8834.714285714286,14062.0,13571.714285714286,349.7,3.0,7.8,45.6,3.6,87.7,28.8,34.2,38.3,53.2,63.8,69.6,75.9,72.8,71.5,56.5,36.6,37.3,19249.0,2.3,2068.0,989.0,9684.0,6138.0,40496.0,146917,394.51,1.0,297,9.0,5145.0,5335.0,9,2020-04-17
294,18107,4737.0,4737.142857142857,6999.571428571428,6841.428571428572,75.6,6.0,10.5,18.1,3.0,96.4,25.3,30.3,35.7,51.0,61.6,69.4,75.4,71.3,69.6,54.5,35.5,34.5,6874.0,,,,,,,38346,504.61,1.0,103,8.0,1912.0,423.0,17,2020-05-09
295,18109,6726.142857142857,7393.428571428572,10512.0,11437.857142857143,170.5,1.0,12.3,16.9,3.4,118.7,27.9,33.5,37.7,52.8,63.4,69.7,76.0,72.3,71.3,55.9,36.5,36.1,11874.0,2.66,967.0,685.0,7547.0,3325.0,3134.0,70116,403.97,1.0,207,6.0,1114.0,364.0,5,2020-04-10
296,18111,996.4285714285713,1047.4285714285713,1941.857142857143,1933.142857142857,35.5,1.0,14.5,11.2,4.3,95.2,23.1,27.4,35.1,50.2,60.4,69.2,75.7,71.1,69.0,54.0,34.5,33.8,2728.0,,,,,,,14011,401.76,0.0,0,2.0,895.0,124.0,8,2020-04-16
297,18113,3586.0,3296.0,5934.0,5196.571428571428,115.7,6.0,15.9,14.3,2.9,110.1,22.2,27.2,33.6,48.2,58.7,67.6,74.6,69.7,67.5,52.8,34.3,33.5,7625.0,,,,,,,47532,410.84,1.0,31,8.0,5009.0,508.0,15,2020-04-19
298,18117,1854.142857142857,1994.0,2773.142857142857,3003.142857142857,49.8,6.0,16.7,12.3,3.9,80.7,31.3,37.5,39.7,54.9,66.2,70.4,75.9,73.4,72.5,57.2,37.4,39.4,3808.0,,,,,,,19489,398.39,0.0,0,2.0,345.0,286.0,10,2020-04-11
299,18127,14723.285714285714,14048.714285714286,21993.42857142857,20245.85714285714,393.0,1.0,6.9,28.2,3.8,124.4,22.2,26.5,33.9,48.5,58.1,67.5,75.3,70.4,68.1,52.0,34.4,34.3,27803.0,2.5,3011.0,2508.0,16567.0,9979.0,8146.0,169594,418.15,1.0,301,9.0,17406.0,7188.0,9,2020-04-18
300,18133,3068.285714285714,3346.4285714285716,4938.0,5394.857142857143,79.0,1.0,10.8,16.1,3.8,98.2,26.6,31.4,36.5,51.8,62.1,69.3,75.2,71.5,70.4,54.9,35.9,35.1,6263.0,,,,,,,37779,480.53,0.0,0,6.0,789.0,1435.0,4,2020-04-10
301,18135,2404.142857142857,2300.142857142857,4199.571428571428,4021.0,57.9,6.0,13.2,14.3,3.9,83.3,26.0,31.6,36.3,51.4,61.7,69.6,75.9,71.2,69.8,55.7,36.5,35.2,5045.0,,,,,,,24851,452.38,0.0,0,4.0,878.0,196.0,3,2020-05-13
302,18137,2308.428571428572,2453.714285714286,3781.0,4054.857142857143,64.6,6.0,10.6,18.1,3.6,103.1,30.0,36.2,39.2,54.6,64.8,69.4,76.1,73.2,72.3,57.6,38.0,38.2,5085.0,,,,,,,28523,446.43,0.0,0,7.0,531.0,141.0,5,2020-04-08
303,18141,19640.0,21854.571428571428,26013.42857142857,28677.0,583.0,2.0,11.6,29.2,3.6,98.1,21.7,26.8,33.4,47.8,57.7,67.5,74.6,69.6,67.8,52.1,34.6,34.1,42783.0,2.4,4988.0,3594.0,28528.0,13829.0,22883.0,270771,457.85,1.0,739,9.0,24136.0,37316.0,20,2020-04-11
304,18143,2733.428571428572,2610.714285714286,4729.714285714285,4335.714285714285,127.0,1.0,16.1,11.9,3.9,80.6,32.1,38.0,40.4,56.0,66.6,71.0,77.5,74.8,74.0,58.6,38.8,39.8,3975.0,,,,,,,23878,190.4,0.0,0,4.0,586.0,130.0,3,2020-05-20
305,18145,3858.571428571429,4420.428571428572,5985.142857142857,6726.142857142857,108.1,1.0,12.0,19.4,3.1,102.6,28.3,34.4,38.3,53.6,64.0,70.5,77.1,72.8,71.7,56.7,37.4,36.9,7644.0,,,,,,,44593,411.15,0.0,0,8.0,1951.0,608.0,13,2020-04-13
306,18149,2029.7142857142856,1900.571428571429,4153.142857142857,3568.714285714286,75.6,6.0,15.9,10.8,4.3,89.7,22.5,26.8,34.4,48.7,58.7,68.4,75.5,70.5,68.1,52.8,34.4,34.1,4266.0,,,,,,,22935,309.13,1.0,53,2.0,903.0,101.0,3,2020-05-20
307,18157,18752.0,17996.714285714286,27619.571428571428,25272.285714285717,345.7,3.0,8.3,37.7,3.2,93.8,24.1,29.9,35.3,50.5,61.5,69.6,75.9,71.4,69.4,54.2,35.4,34.4,22471.0,2.51,2235.0,1982.0,16606.0,10276.0,41902.0,193048,499.81,1.0,679,9.0,16412.0,10921.0,5,2020-05-20
308,18163,21445.85714285714,20483.285714285714,33846.71428571428,31165.857142857138,769.7,2.0,10.3,26.3,3.2,90.6,32.8,38.9,42.0,57.6,68.0,73.4,78.5,76.4,76.1,58.9,39.8,41.0,30573.0,2.32,3018.0,1303.0,18721.0,8346.0,12951.0,180974,233.48,1.0,935,9.0,4950.0,17605.0,4,2020-05-19
309,18167,11087.428571428569,12108.571428571431,15498.142857142857,16461.85714285714,267.4,3.0,11.9,24.5,4.4,86.7,28.3,33.3,38.8,54.2,64.2,71.4,77.0,73.2,72.4,55.8,37.1,36.5,17517.0,2.3,951.0,1453.0,9000.0,4716.0,12298.0,107386,403.31,1.0,489,9.0,2922.0,7837.0,6,2020-04-13
310,18173,6437.857142857143,6743.571428571428,10362.57142857143,10400.857142857143,155.1,2.0,7.0,29.6,2.9,135.5,32.4,38.7,41.5,57.1,67.9,73.0,77.9,75.6,75.2,58.2,39.3,40.9,10947.0,,,,,,,62567,384.82,1.0,24,9.0,1208.0,1041.0,18,2020-04-15
311,18177,6163.714285714284,6001.714285714284,9041.57142857143,8579.857142857143,171.5,5.0,13.2,18.2,3.6,81.0,26.5,32.5,37.0,52.3,62.5,69.4,75.9,72.0,70.7,56.3,36.7,35.5,12631.0,2.23,1217.0,683.0,6396.0,3373.0,3565.0,65936,401.74,1.0,221,9.0,2066.0,3326.0,5,2020-04-24
312,18181,2959.4285714285716,2814.4285714285716,5355.0,4895.0,48.8,6.0,11.4,16.8,3.1,104.8,23.2,28.2,34.9,49.7,60.3,69.2,75.7,70.9,68.7,53.9,34.7,33.8,4854.0,,,,,,,24133,505.12,0.0,0,3.0,2093.0,187.0,9,2020-05-15
313,19005,717.5714285714287,736.8571428571429,1232.0,1181.0,22.4,6.0,12.3,18.5,3.1,88.8,15.3,15.2,27.9,46.2,54.8,66.4,74.2,68.2,65.7,46.4,29.8,27.4,3143.0,,,,,,,13832,639.08,0.0,0,6.0,962.0,241.0,4,2020-04-16
314,19007,1288.0,1223.0,2110.285714285714,2065.0,25.9,7.0,9.1,17.1,3.3,73.7,22.7,21.3,34.7,52.2,58.9,70.9,76.3,71.6,70.3,49.2,34.9,32.8,2823.0,,,,,,,12437,497.29,0.0,0,4.0,269.0,103.0,3,2020-05-04
315,19013,11640.0,11096.571428571431,16155.571428571431,15139.428571428569,231.7,3.0,8.7,28.6,2.8,87.1,16.3,14.1,29.7,48.1,56.2,68.6,74.9,68.7,67.3,46.6,30.8,29.0,21719.0,2.39,2538.0,1535.0,12791.0,6122.0,16207.0,132408,565.77,1.0,459,9.0,5893.0,12856.0,28,2020-04-22
316,19017,2187.428571428572,2138.5714285714284,3835.571428571429,3738.4285714285716,55.7,3.0,3.8,30.3,2.0,124.3,16.1,13.9,28.7,47.3,55.7,68.4,74.8,68.4,66.6,46.3,30.5,28.4,4886.0,,,,,,,24947,435.48,0.0,0,6.0,417.0,304.0,5,2020-04-27
317,19043,1307.2857142857142,1302.4285714285713,2511.857142857143,2464.0,23.3,8.0,8.8,17.2,3.2,89.8,15.6,15.2,28.6,47.0,55.6,66.9,74.4,67.8,65.7,46.4,29.7,28.7,4173.0,,,,,,,17556,778.54,0.0,0,9.0,358.0,161.0,3,2020-05-12
318,19049,8708.42857142857,8435.42857142857,16180.857142857143,15477.714285714286,112.4,2.0,4.7,49.4,1.7,145.3,20.6,15.8,32.3,51.4,58.0,70.2,75.9,70.6,69.5,47.9,33.8,31.3,10813.0,2.52,1876.0,1844.0,11850.0,5609.0,3412.0,90180,588.45,0.0,0,9.0,5544.0,2165.0,17,2020-05-05
319,19061,10913.142857142857,10335.142857142857,14382.857142857143,13823.857142857143,154.0,3.0,7.6,30.5,2.4,100.5,16.5,17.4,30.9,47.6,56.4,67.4,75.2,68.5,66.4,47.0,30.2,29.9,17409.0,2.41,2357.0,1563.0,8416.0,4477.0,6737.0,96854,608.3,1.0,445,9.0,2438.0,3398.0,13,2020-04-29
320,19077,1220.7142857142858,1169.4285714285713,2590.857142857143,2207.5714285714284,18.5,2.0,7.2,19.8,2.6,100.4,20.6,14.9,31.3,50.8,57.4,69.6,75.1,69.9,68.7,47.6,33.6,30.5,2407.0,,,,,,,10720,590.62,0.0,0,6.0,320.0,64.0,3,2020-05-19
321,19099,4614.0,4542.714285714285,7655.0,7449.857142857143,50.4,6.0,6.3,17.9,2.6,100.5,19.7,16.9,32.4,51.0,57.6,70.1,76.3,70.4,69.2,48.2,33.5,31.4,7109.0,,,,,,,37147,730.42,1.0,68,8.0,913.0,864.0,16,2020-05-05
322,19103,10597.285714285714,10847.57142857143,16174.142857142857,16202.857142857143,213.1,3.0,4.7,53.0,1.9,107.2,18.1,18.5,32.6,49.6,57.8,69.7,76.7,70.0,68.7,47.4,32.7,31.4,17736.0,2.36,2606.0,2106.0,12933.0,6160.0,27244.0,151260,614.04,1.0,1383,9.0,8771.0,10999.0,6,2020-04-15
323,19113,25902.285714285717,23561.571428571428,33124.142857142855,30713.0,294.6,2.0,5.3,33.0,2.8,108.0,16.4,16.4,31.1,48.7,57.0,68.5,75.4,69.0,67.6,46.4,31.0,29.8,35702.0,2.41,3908.0,2662.0,23904.0,11893.0,11935.0,225909,716.88,1.0,994,9.0,7572.0,13389.0,29,2020-04-02
324,19115,911.5714285714287,917.5714285714287,1750.857142857143,1740.7142857142858,28.3,8.0,18.1,14.2,2.6,82.5,21.0,21.0,35.0,50.0,58.4,70.7,77.8,71.5,69.7,50.0,34.3,33.1,2065.0,,,,,,,11169,401.77,0.0,0,4.0,1806.0,119.0,11,2020-05-08
325,19123,2723.714285714286,2719.428571428572,4508.428571428572,4427.285714285715,39.2,7.0,8.8,22.3,2.5,94.0,20.5,18.7,34.0,51.6,58.3,70.5,76.2,70.7,70.0,48.9,34.6,32.4,4027.0,,,,,,,22000,570.86,0.0,0,5.0,529.0,388.0,14,2020-05-22
326,19127,3726.571428571429,3544.285714285714,5424.428571428572,5052.571428571428,71.0,4.0,16.4,19.0,4.4,99.1,17.9,15.5,31.2,49.7,56.8,69.2,75.2,69.3,68.2,47.3,32.0,30.2,7272.0,,,,,,,39981,572.5,1.0,125,7.0,8975.0,913.0,15,2020-05-06
327,19135,781.2857142857142,768.0,1634.571428571429,1517.0,18.4,7.0,12.0,16.6,2.9,94.1,21.7,19.7,34.6,51.9,58.5,70.5,76.2,71.0,70.2,49.1,35.0,32.8,1555.0,,,,,,,7790,433.72,0.0,0,3.0,218.0,59.0,6,2020-05-22
328,19139,3896.0,3662.142857142857,5766.428571428572,5316.285714285715,97.7,4.0,12.4,22.0,2.6,97.3,19.0,20.1,34.0,48.9,58.1,70.4,77.5,71.1,68.9,49.0,33.0,32.1,7145.0,,,,,,,42929,437.47,1.0,48,9.0,7864.0,1270.0,19,2020-04-18
329,19153,48434.0,50691.714285714275,63682.0,67759.85714285714,750.5,2.0,8.5,36.1,2.5,114.0,20.3,16.8,33.0,51.6,58.3,70.6,76.1,70.9,69.7,48.0,33.9,31.5,63631.0,2.52,7138.0,6725.0,52703.0,27433.0,28629.0,487204,573.79,1.0,1781,9.0,41543.0,34457.0,27,2020-04-06
330,19155,12629.571428571431,12161.285714285714,20617.714285714286,19422.285714285714,98.0,2.0,10.5,21.2,2.3,93.8,22.5,15.8,33.1,52.2,58.5,71.4,75.9,72.1,70.4,48.1,35.0,30.9,16335.0,2.49,1659.0,920.0,9960.0,5509.0,4644.0,93533,950.28,1.0,514,9.0,7339.0,1656.0,10,2020-05-20
