fips,state,county,state_fips,county_fips,rucc,state_abb,metro_area,metro_state_county,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
06001,California,Alameda County,06,001,1,CA,06001,"06001, Alameda County, CA",3.945115852392392,-1.1458581317793173,0.4254816609441709,-0.7040863924661737,0.8626708332266084,-0.40047078818642357,-0.42134426268582814,-1.013309903677181,-0.4478095336274404,-0.18098866585729606,0.1804632806967506,0.32928487560012154,-0.23901881015989862,0.13108590292677877,-0.0911245364180851,0.5331713363361102,-0.49354058756375335,0.27595316178923773,-0.2839991147004498,0.22686697563035715,0.15017228394367968,0.19442992447415264,2.806782584130474e-15
06037,California,Los Angeles County,06,037,1,CA,06037,"06037, Los Angeles County, CA",1.2818630248394773,-4.70205166540346,3.0089869027689575,-3.2203763761197863,-0.11844286406739918,0.4910221968872151,0.640145882481203,0.45525750916336005,0.8636145630462395,-0.08179161157749927,-0.22473728975661106,-0.28305291189911824,0.2119150277620278,0.33058294453835485,-0.33772166663848807,-0.1128584059825517,-0.18250693628080839,-0.3389782487146131,-0.0690799567420302,-0.2690374872217877,0.08186934449057097,0.050255081233325595,2.4424906541753444e-15
06059,California,Orange County,06,059,1,CA,06059,"06059, Orange County, CA",3.283354363669929,-1.242505523886436,1.2999018955798212,-1.7588950003741721,0.9875796803174925,0.33838520846481945,0.8902782940702322,-1.0013736382210743,-0.5820409851876295,0.09822592790993959,0.6385046820612336,0.019303726808397634,-0.6326714259027559,0.20935954552809974,-0.44351313862207326,-0.2862422771953267,0.39126020132473444,0.03926337212664235,0.07706771509318032,0.28126330453573545,-0.22004568337248842,-0.1056981648652301,3.2595454113604205e-15
06075,California,San Francisco County,06,075,1,CA,06075,"06075, San Francisco County, CA",5.820713517251225,-3.836522868007183,-1.450542088558358,1.6704904767269337,1.8572103812961225,-2.7609453380477906,0.4456756076893267,0.47162059820272595,1.1576292055478015,-0.13205490632289707,-0.5269126866781422,-0.1355436169113952,0.3826920203720062,-0.06813232422371693,0.12335983963913943,-0.23065861220206738,0.14418194802283335,0.1683787853454588,-0.03468026743427287,0.026470786600768074,-0.025374234243286803,-0.048548127875314255,2.26554885962571e-15
06081,California,San Mateo County,06,081,1,CA,06081,"06081, San Mateo County, CA",5.240539462662631,-0.32048511332519425,0.2887209622361273,0.21213174283322853,0.17182227952366685,0.8997347084876859,-0.23047418769942257,0.4436383367082033,-1.7274264764507747,0.868574736070518,0.541685502109385,-0.22018578127034738,0.7693822384097979,0.09029390627666756,0.32718931125799555,-0.11253073593813753,0.09493607688833589,0.03782746513272836,-0.18755720162546632,-0.06853911477397556,0.18954119096163471,-0.18835225968785818,3.1259717037102064e-15
06085,California,Santa Clara County,06,085,1,CA,06085,"06085, Santa Clara County, CA",5.403361139897589,-0.10069606785280902,1.6723603451271376,0.291826241959128,0.31412917525390743,0.09528471345044306,-0.5659984112416706,0.26974731297230653,-0.8324592783960223,0.3628096824292602,-0.8771012447112568,0.8382001079425594,-0.033848621493519,-0.10531040975428599,0.42698090161199953,0.42612979019460695,0.12394030954434802,-0.2676292301732401,0.4141934936818848,-0.07374642079372522,-0.1489657957236461,0.10722940029487679,3.570060913560269e-15
17031,Illinois,Cook County,17,031,1,IL,17031,"17031, Cook County, IL",-1.048796520235531,-2.5523925161255487,-0.5964958340758232,-1.7528590544651994,-1.6690548775747738,1.3053465484101634e-4,-0.2823280349202185,0.8742262060452937,-0.3017479522364453,-0.03440118334446436,0.20005521287366207,-1.3324825165179583,0.0873222736237286,-0.9283031362553594,0.14931132826266616,0.21021656602982847,-0.008829566973216772,0.20819427733107898,0.19701014805860187,0.11363490968692079,-0.07620192858827643,0.0668956587449933,2.4667767828390197e-15
17043,Illinois,DuPage County,17,043,1,IL,17043,"17043, DuPage County, IL",2.476555668164016,2.6312726969315143,-1.802509890205806,-0.25270747327313614,-0.5721552756767412,-0.015142397737775641,0.9168794764664095,-1.2913239261774492,-0.19246753023186075,-1.671000517718036,0.4057068123513001,-0.28505324529805404,-0.10293527590949003,0.09102017048897024,0.31635635942074924,-0.07718020028688494,0.4914741221993427,-0.004453750281359858,0.04390724362720855,-0.23331341111539294,0.13304142796594542,0.14122092904472838,3.1259717037102064e-15
17089,Illinois,Kane County,17,089,1,IL,17089,"17089, Kane County, IL",-0.29043068915443687,1.7339058768204876,1.8428912823124861,-1.039605525144244,-1.511947416391009,0.5655198908142302,0.7549766625759833,0.8174592764849274,0.6398755385877839,-0.13373455682778362,-0.4070693430844108,0.8900512962789785,-0.24799111141675123,-0.021377347919984552,0.08476952724393536,0.07820097997291361,0.011805102770469998,0.6553127334541744,0.001991222143498981,-0.1817098811479409,-0.010438893895287375,-0.12578454951877,2.9004576518332215e-15
17097,Illinois,Lake County,17,097,1,IL,17097,"17097, Lake County, IL",1.2785285901805707,1.6926877620945402,-0.24896000925898237,-0.3190660435356869,-1.8142032648911834,0.40655672037718343,-0.1740574997414171,0.46669827531845764,0.38100628812948745,-0.490683216866583,-0.7947751759669802,-0.22573693458166938,-0.431209916679674,0.29791749857946176,0.7543661729439519,-0.36589485447014164,-0.19711285586304256,-0.25380285619886517,-0.328189656023415,0.27747071533943357,-0.07254267904564682,-0.051226887440678597,3.028827189055505e-15
