FIPS,Beds,HospCt
18081,125,1
18083,175,1
18085,72,1
18089,2106,9
18091,377,2
18095,332,2
18097,2954,7
18099,48,1
18105,297,1
18107,103,1
18109,207,2
18113,31,1
18127,301,1
18141,739,3
18149,53,1
18157,679,3
18163,935,2
18167,489,2
18173,24,1
18177,221,1
18179,79,1
18183,30,1
19013,459,3
19027,99,1
19033,586,2
19041,99,1
19045,175,1
19053,25,1
19055,25,1
19057,213,1
19059,49,1
19061,445,2
19099,68,1
19103,1383,3
19111,121,2
19113,994,2
19117,25,1
19127,125,1
19129,851,1
19139,48,1
19147,47,1
19153,1781,6
19155,514,2
19157,49,1
19163,1143,3
19169,237,2
19179,217,1
19187,200,1
19193,830,2
20009,33,1
20011,61,1
20015,126,2
20019,25,1
20023,16,1
20025,54,1
20031,78,1
20035,62,2
20037,111,1
20039,61,1
20045,152,1
20051,172,1
20055,132,1
20057,99,1
20059,44,1
20061,92,1
20063,70,1
20067,26,1
20071,50,1
20075,69,1
20079,141,2
20081,13,1
20087,74,1
20091,1229,9
20099,67,2
20103,130,2
20109,71,1
20113,62,2
20115,37,1
20121,18,1
20125,88,1
20129,120,1
20131,49,2
20135,109,2
20137,25,1
20141,25,1
20145,613,1
20147,25,1
20149,177,2
20151,85,1
20155,223,2
20161,109,2
20163,20,1
20167,46,1
20169,198,1
20171,25,1
20173,735,4
20175,101,1
20177,685,2
20183,53,1
20185,25,1
20191,61,1
20195,62,1
20201,25,1
20203,37,1
20205,15,1
20209,1156,2
21001,77,1
21009,180,1
21013,216,2
21015,161,1
21017,58,1
21019,455,1
21021,222,1
21025,55,1
21035,152,1
21037,284,1
21047,194,1
21049,54,1
21051,63,1
21053,42,1
21055,48,1
21059,447,1
21067,1866,5
21069,52,1
21071,174,1
21083,107,1
21085,75,1
21089,190,1
21093,285,1
21095,150,1
21097,61,1
21101,192,1
21107,390,1
21111,2909,8
21115,72,1
21117,631,2
21125,150,1
21127,90,1
21133,90,1
21141,75,1
21145,708,2
21151,105,1
21155,75,1
21161,100,1
21171,49,1
21173,42,1
21177,90,1
21179,40,1
21185,90,1
21193,358,1
21195,374,2
21199,295,1
21203,26,1
21205,149,1
21207,25,1
21209,75,1
21211,70,1
21213,25,1
21217,90,1
21221,25,1
21225,25,1
21227,548,2
21231,25,1
21235,273,1
21239,25,1
22001,41,2
22003,76,2
22005,73,2
22007,6,1
22009,55,2
22011,60,1
22013,21,1
22015,134,1
22017,1598,5
22019,632,4
22021,40,1
22023,49,1
22029,25,1
22033,1850,7
22035,11,1
22037,10,1
22039,250,2
22041,43,1
22045,187,2
22049,25,1
22051,1402,5
22053,60,1
22055,967,6
22057,203,3
22059,84,2
22061,91,1
22065,25,1
22067,22,1
22069,208,1
22071,1319,5
22073,632,5
22077,25,1
22079,630,2
22081,25,1
22083,56,2
22085,44,1
22089,59,1
22091,25,1
22093,20,1
22097,340,2
22099,25,1
22101,187,2
22103,728,6
22105,325,4
22109,327,3
22111,36,2
22113,95,2
22115,70,2
22117,25,1
22119,196,2
22123,21,1
22125,22,1
22127,60,1
23001,483,2
23003,203,3
23005,959,3
23007,65,1
23009,64,1
23011,333,2
23013,109,1
23015,32,1
23019,523,2
23031,229,2
24001,371,1
24003,673,2
24005,1152,4
24009,76,1
24013,189,1
24015,122,1
24017,89,1
24019,46,1
24021,308,1
24023,55,1
24025,255,2
24027,331,2
24029,26,1
24031,1298,6
24033,789,5
24037,95,1
24039,89,1
24041,132,1
24043,247,1
24045,281,1
24047,45,1
24510,4505,14
25001,347,2
25003,323,2
25005,1161,5
25007,25,1
25009,1241,9
25011,89,1
25013,1322,5
25015,165,2
25017,2608,15
25019,19,1
25021,731,4
25023,650,4
25025,4622,14
25027,1708,10
26005,25,1
26007,124,1
26013,15,1
26015,49,1
26017,358,2
26021,329,3
26023,96,1
26025,266,2
26027,25,1
26029,25,1
26033,82,1
26035,49,1
26039,71,1
26041,25,1
26043,96,1
26045,20,1
26047,178,1
26049,1143,3
26053,25,1
26055,377,1
26057,67,1
26059,65,1
26061,61,2
26063,48,1
26065,1063,4
26069,49,1
26071,25,1
26073,118,1
26075,325,1
26077,821,2
26081,1753,5
26087,183,1
26091,88,1
26093,136,1
26099,1069,3
26103,289,2
26105,49,1
26107,69,1
26111,308,1
26115,217,1
26117,110,2
26121,382,2
26123,25,1
26125,4375,15
26129,88,1
26131,25,1
26137,46,1
26139,311,3
26145,891,4
26147,398,3
26149,144,2
26151,15,1
26155,107,1
26157,50,2
26159,84,2
26161,1683,4
26163,5269,16
26165,49,1
27003,546,2
27005,87,1
27007,118,1
27013,272,1
27019,109,1
27025,61,1
27035,162,1
27037,259,3
27041,127,1
27047,159,1
27049,50,1
27053,4628,10
27059,86,1
27061,64,1
27067,136,1
27083,49,1
27085,66,1
27091,57,1
27099,82,1
27105,48,1
27109,2120,3
27111,108,1
27113,35,1
27115,40,2
27123,1847,5
27131,49,1
27137,1070,5
27139,93,1
27141,54,1
27145,485,1
27147,43,1
27163,183,2
27169,99,1
27171,104,2
28001,179,1
28003,200,1
28011,165,1
28013,25,1
28017,84,1
28021,32,1
28025,60,1
28027,181,1
28031,35,1
28033,406,2
28035,512,1
28039,48,1
28043,156,1
28045,102,1
28047,773,3
28049,2225,4
28059,571,2
28061,16,1
28063,30,1
28067,285,1
28071,217,1
28073,211,1
28075,747,5
28081,650,1
28083,208,1
28085,99,1
28087,315,1
28089,67,1
28091,49,1
28093,40,1
28095,130,2
28099,48,1
28105,96,1
28107,112,1
28109,60,1
28113,197,2
28117,114,1
28121,326,3
28125,29,1
28127,99,2
28129,29,1
28133,140,3
28137,76,1
28139,25,1
28141,48,1
28145,153,1
28149,361,1
28151,324,2
28153,80,1
28155,38,1
28159,41,1
28161,26,1
29001,93,1
29007,88,1
29013,60,1
29019,560,3
29021,352,1
29023,142,4
29027,37,1
29029,116,1
29031,571,2
29037,71,1
29047,741,3
29049,58,1
29051,268,2
29053,70,1
29069,116,1
29071,148,1
29077,1042,4
29083,56,1
29091,114,1
29095,3526,13
29099,251,1
29101,75,1
29105,58,1
29127,99,1
29145,384,3
29147,81,1
29155,167,1
29159,145,1
29161,242,1
29165,97,1
29167,86,1
29175,100,1
29181,21,1
29183,715,5
29187,130,1
29189,4528,11
29195,60,1
29201,144,1
29207,48,1
29213,157,1
29215,66,1
29217,71,1
29510,3021,7
30013,436,3
30029,206,2
30031,90,2
30041,49,1
30049,123,1
30063,404,2
30093,98,1
30111,590,2
31001,161,1
31019,261,2
31033,25,1
31053,81,1
31055,2479,8
31079,159,1
31109,984,5
31111,116,1
31119,131,2
31141,51,1
31153,176,2
31157,166,1
32001,40,1
32003,3756,16
32005,23,1
32007,50,1
32013,52,1
32015,7,1
32017,20,1
32019,63,1
32023,25,1
32027,38,1
32031,1137,5
32510,200,2
33001,137,1
33003,50,2
33005,169,1
33007,66,3
33009,496,5
33011,1047,5
33013,345,3
33015,395,3
33017,290,2
33019,25,1
34001,1213,3
34003,2762,6
34005,750,3
34007,1760,5
34009,242,1
34011,335,1
34013,3173,7
34015,541,2
34017,1704,6
34019,184,1
34021,944,4
34023,2405,6
34025,2091,5
34027,1280,4
34029,1270,4
34031,1187,4
34033,222,2
34035,361,1
34037,146,1
34039,1232,4
34041,309,2
35001,1408,5
35005,188,2
35006,25,1
35009,106,1
35013,367,2
35015,161,2
35017,71,1
35019,10,1
35025,211,2
35027,25,1
35028,47,1
35029,25,1
35031,200,3
35035,99,1
35037,25,1
35039,80,1
35041,30,1
35043,271,2
35045,194,1
35047,54,1
35049,219,2
35053,24,1
35055,29,1
35059,25,1
36001,1341,4
36003,70,1
36005,3597,9
36007,742,3
36009,186,1
36011,99,1
36013,359,4
